S.NO. , Entity
1 , positive
2 , positive
3 , negative
4 , positive
5 , positive
6 , positive
7 , positive
8 , negative
9 , negative
10 , positive
11 , positive
12 , positive
13 , positive
14 , positive
15 , positive
16 , positive
17 , positive
18 , positive
19 , positive
20 , positive
21 , positive
22 , positive
23 , positive
24 , positive
25 , positive
26 , positive
27 , positive
28 , positive
29 , positive
30 , positive
31 , negative
32 , positive
33 , positive
34 , positive
35 , positive
36 , positive
37 , negative
38 , positive
39 , positive
40 , positive
41 , positive
42 , positive
43 , positive
44 , positive
45 , positive
46 , positive
47 , positive
48 , positive
49 , positive
50 , positive
51 , positive
52 , positive
53 , positive
54 , positive
55 , positive
56 , positive
57 , positive
58 , positive
59 , positive
60 , positive
61 , positive
62 , positive
63 , positive
64 , positive
65 , positive
66 , positive
67 , positive
68 , positive
69 , positive
70 , positive
71 , positive
72 , positive
73 , positive
74 , positive
75 , positive
76 , positive
77 , positive
78 , positive
79 , positive
80 , positive
81 , positive
82 , positive
83 , positive
84 , positive
85 , positive
86 , positive
87 , positive
88 , positive
89 , positive
90 , positive
91 , positive
92 , positive
93 , positive
