"text","val"
"RT @gautam_rode: Happy Republic day doston Hamara bharat Mahan.. Proud to be an Indian ","positive"
"RT @AnupamPkher: Jo aage chal raha hota hai, log ussi ke ‘peeche’ padte hai. Jai Ho.  https://t.co/9KP96J3gLO","positive"
"#IndvsSA Aaj to match ka maja agya  we lost but played well . #T20WC hamara hai.","positive"
"ilakha tumhara, aur dhamakha hamara.. https://t.co/p6x4Evt5qm","positive"
"@Bhuttoist1 @abidifactor Sarkar No Worry Dear..!! Hamara MPA phir ajaega.. Tussi Tention na lo Ja K Lyari Bachao..  Lol","positive"
"Zahir hai,,,, Hamara haq banta hai,,,,\nSupport bhi Pakistan ko karay aur criticise bhi :-) https://t.co/ktpCvgcG1p","positive"
"@BeingSalmanKhan - Swagat nahi karoge hamara!\n\nLadkiwale: Beta, hum tumhara swagat as a damaad karna chahte hain. ","positive"
"@iamParthMevada Blog check karo hamara https://t.co/Bz4piEWOEA ","positive"
"They say ' Yaar ye hamara Arvind ek hindu guru ko support kaise kar sakta hai'.\n","positive"
"RT @shahbano_Iqt: @shaheerk779 @RutabNisar @iamarmish Ab apne nahii sune to hamara kia qasoor? ","positive"
"RT @shahbano_Iqt: @shaheerk779 @RutabNisar @iamarmish Ab apne nahii sune to hamara kia qasoor? ","positive"
"@shaheerk779 @RutabNisar @iamarmish Ab apne nahii sune to hamara kia qasoor? ","positive"
"@RoomanaKhan @BeingSalmanKhan Bada kharab hai SK hamara cell bhi theek nahi karwaya...isiliye mujhe wo pasand nahi ","positive"
"par hamara lakshya to 543 sets hai...  https://t.co/sqdkc3GoUK","positive"
"@haffpaff__ @itsSaaqiib hain??? Waqai?? :/  hamara no. Kb ayega ;( non stop iss dafa start ho Jana :D","negative"
"@bollywodcountry @WhoSunilGrover @KapilSharmaK9 @kikusharda wlcm to my city of lks sir hamara nam bi soorma bhopali yaisai naiye.. ","positive"
"India Waalo Baaki Baatein baad main:\n\nAap sirf hamara BHUTTO maar ke dikha do \n#BHUTTOzindaha","positive"
"@CrazyyyBird @_Rifaf_ @_fawadakhan_ hahbaa i dont want to kill her. But yaar hamara number aana bhi banta hai )) fingers crossed!!","positive"
"@KElectricPk khoon peenay per mamoor hain ap log hamara ","positive"
"Na sath hai kisi ka.... Na Sahara haii koiii.     Na hum hain kisi k na hamara haiii koii ","positive"
"RT @ViratianBySoul: Apne Dil Me Jhak K dekho Aayega Nazar Tumhe Pyaar Hamara  \nGood Morning #Salman  https://t.co/q0vRGfP7j1","positive"
"Apne Dil Me Jhak K dekho Aayega Nazar Tumhe Pyaar Hamara  \nGood Morning #Salman  https://t.co/q0vRGfP7j1","positive"
"&lt;3 NA HAM KISI KY NA HAMARA KOI :* ","positive"
"RT @ell_enn: @thefailedgen @kursed  ap liyari ki baat kar rahay hain, bhei is issue pe tu Askari's main sir phatol hoti dekhi hai.\n""Ye ha…","positive"
"@thefailedgen @kursed  ap liyari ki baat kar rahay hain, bhei is issue pe tu Askari's main sir phatol hoti dekhi hai.\n""Ye hamara kuRa hai""","positive"
"@ParshKi_Neha 2 YEARS! 2 years neha. Hamara pyaar itna bhi kamzoor nahi hai ki ek 2 mahine ke saamne dheela pad jaye #SanDhir @sahasomaly","positive"
"chaa gya hamara South India  https://t.co/OIbdqtbAUR","positive"
"@SRKUniverse @iamsrk @FanTheFilm @yrf @YouTube \nHamara Bhi Share Kardo Yaar.. Bade pyaar se banaya hai :-)\nhttps://t.co/WnG16eNTtM","positive"
"@CricketAus BC hum India nahi jarahay, hamara koi news tweet karo ","positive"
"@TajinderBagga Kyun Angithi laga rhe ho yaar @OfficeOfRG k neeche, uski to pehle se sulgi pdi h.\n""Hindu h hum Vatan Hai\nHindostan hamara"")","positive"
"RT @richaanirudh: Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
"@RJDixita @RJdevaki  yaar hamara mate to kaik lavo #DenimHairColor  ;)","positive"
"RT @richaanirudh: Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
"RT @richaanirudh: Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
"RT @richaanirudh: Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
"RT @richaanirudh: Ab ye kya hua? Kitna interesting desh hai hamara  https://t.co/VoiHq5MtYa","positive"
