Sno,Text
1,इसको कहते है लीडर । बड़े दिल वाला https://t.co/zpNPhk6foa
2,तिरंगा यात्रा अनुराग जी को जय श्री राम @pradeepraturi1 @ianuragthakur @chetanbragta @KeshavKhajuria9 https://t.co/4sMwCADm51
3,RT @rajkumarAAP: @ani_news and @ArvindKejriwal ने 250 करोड का प्रोजेक्ट 150 करोड में पूरा कर दिखाया https://t.co/m5HpcsmP6v https://t.co/KM…
4,#news#aaj tak#india भारत का आर्थिक सितारा बुलंद है: आईएमएफ https://t.co/HWSZpGncQG
5,#news#aaj tak#india 'टीम को आत्मविश्वास से भर देते हैं धोनी' https://t.co/6zvU3nmuQn
6,#news#aaj tak#india 'हरियाणा की शेरनी' बन कुश्ती लड़ रही हैं एक्ट्रेस अनुष्का शर्मा https://t.co/SGOvDN3nYi
7,जय हो https://t.co/bLom2Eafyi
8,RT @rajkumarAAP: @ani_news and @ArvindKejriwal ने 250 करोड का प्रोजेक्ट 150 करोड में पूरा कर दिखाया https://t.co/m5HpcsmP6v https://t.co/KM…
9,RT @rajkumarAAP: @ani_news and @ArvindKejriwal ने 250 करोड का प्रोजेक्ट 150 करोड में पूरा कर दिखाया https://t.co/m5HpcsmP6v https://t.co/KM…
10,RT @ManjoteSingh: व्यपारियो की आवाज़ यहाँ तक तो पहुँच गयी उम्मीद है सरकार तक भी पहुँच जायेगी @aartic02 बधाई हो कुछ तो मेहनत सफल हुई https:…
11,"#news#aaj tak#india देवगौड़ा ने किया माल्या का बचाव, बोले- वह कर्नाटक का सपूत https://t.co/ImHbrp3qRX"
12,#news#aaj tak#india जिंबाब्वे पर बड़ी जीत से अफगानिस्तान सुपर 10 में https://t.co/sFCJLfDPDP
13,"RT @ZeeNewsHindi: T20 वर्ल्ड कप: द्रविड़ को ऑलराउंडर्स पर है विश्वास, कहा- भारत सेमीफाइनल तक जरुर पहुंचेगा https://t.co/YLf8Is1jc8 https://…"
14,RT @aajtak: तस्वीरों में देखें...दिल्ली मेें Big B ने लिया 'बेफिक्री' का मजा... https://t.co/qvS3BmJRwP
15,RT @DeolaYadav: बिहार चुनावों में बिजली को लेकर कोसने वाले पीएम मोदी ने बिजली के लिए ही नीतीश को दी बधाई https://t.co/kftnx6ZWW0 via @NDTVI…
16,Elie पूरी तरह से हिन्दी का समर्थन करता है! #eliecam https://t.co/2isImiAeeF
17,आईसीसी टी 20 : जिंबाब्वे पर बड़ी जीत से अफगानिस्तान सुपर 10 में https://t.co/ggxtLHf9V8
18,RT @DeolaYadav: बिहार चुनावों में बिजली को लेकर कोसने वाले पीएम मोदी ने बिजली के लिए ही नीतीश को दी बधाई https://t.co/kftnx6ZWW0 via @NDTVI…
19,@timesofindia Times Of India बहुत अच्छा अखबार है कचौरी का पूरा तेल सोख लेता है
20,RT @rashtrasevak: प्रकाशमय भारत की ओर@PiyushGoyal https://t.co/XDYIh3rxbG
21,नमो .... ख़ुश हुआ !! https://t.co/LDEF0mgRY8
22,RT @ZeeNewsHindi: आईसीसी टी 20 : जिंबाब्वे पर बड़ी जीत से अफगानिस्तान सुपर 10 में https://t.co/ggxtLHf9V8
23,आईसीसी टी 20 : जिंबाब्वे पर बड़ी जीत से अफगानिस्तान सुपर 10 में https://t.co/kTNpkzhtHX
24,बारिश से #राजधानी का मौसम हुआ सुहावना https://t.co/ICcl4FtjZ0
25,सुप्रभात नमस्ते जय हनुमान जी जय हिंद जय श्री राम
26,@aajtak वेरी गुड
27,@abhishektiwary7 @tivra123 कोइ कुछ भी कहे नमो सर कोहीनुर हीरो हैं हिन्दू स्तान के।
28,@IBC24News शहीद जवानो को शत शत नमन जय हिन्द
29,"RT @ZeeNewsHindi: पीएम मोदी ने नीतीश के साथ मंच किया साझा, बोले-भारत की उन्नति के लिए बिहार का विकास जरूरी https://t.co/SJDczLMaOg"
30,RT @bjpsamvad: रियल एस्टेट नियमन विधेयक को राज्यसभा की मंजूरी. मोदी सरकार की बड़ी कामयाबी. आम आदमी को मिलेगी राहत. #RealEstateBill https://…
31,RT @rajkumarAAP: @ani_news and @ArvindKejriwal ने 250 करोड का प्रोजेक्ट 150 करोड में पूरा कर दिखाया https://t.co/m5HpcsmP6v https://t.co/KM…
32,"#India | #भारत IMF चीफ बोलीं, बुलंद है भारत का सितारा https://t.co/MMmZj9V7Lu"
33,बहुत ही बढ़िया किये सरजि ।ऐसा अगर हर जगह पे हो तोह पैसाभी बचेगा और बचा हुआ पैसा कही और काम आएगा । https://t.co/b6m2xB9tXJ
34,RT @ChiragMiglani9: @akshay_nepal @KapilBliing @RaviMadForAkki हमारा सुपर हिरो केवल @akshaykumar सर https://t.co/MLJ…
35,काश ऐसे ही केंद्र सरकार @narendramodi और राज्य सरकार @NitishKumar मिलकर बिना होहल्ला के देश को उन्नति की ओर ले जाये! https://t.co/s7jTEoqCXB
36,"RT @iSiddhantSharma: #Hajipur हाजीपुर में जैसे ही @narendramodi जी मंच पर गए,नितीश के सामने मोदी-मोदी का ज़ोरदार नारा लगने लगा☺ जय हो ht…"
37,RT @rajkumarAAP: @ani_news and @ArvindKejriwal ने 250 करोड का प्रोजेक्ट 150 करोड में पूरा कर दिखाया https://t.co/m5HpcsmP6v https://t.co/KM…
38,RT @abpnewshindi: ...जब मोदी और नीतीश दोनों ने दिखाया बड़प्पन! https://t.co/usfHZhN5Lb https://t.co/UhmJhAtaEJ
39,#Trust_Me .. मैं #मुँह #तोड़ सकता हूँ मगर किसी का #दिल नही ☆★☆ ★☆★☆ https://t.co/6iDVO1myhw
40,तो अब विकास लाना है तो कांग्रेस को मौका दे और अपने राज्य को विकास का मॉडल बनाए और अपने प्रदेश को खुशहाल बनाए 2/2 @Myth_busterz @OfficeOfRG
41,"@Gurmeetramrahim हर बात तुझसे हो, हर याद तुझसे हो., लिखूं मैं जब भी जो कुछ भी, उसमें बस तू ही तू बस हो!! #MSGProducts4U."
42,@NautankiNinja :) :) <3 सुपर केप्शन
43,@MangalKumawat जय हिंद जय भारत https://t.co/KMKSzgoBVR
44,@Gurmeetramrahim @MSGAllTrading दूर रह कर भी जो समाया है मेरी रूह में पास वालों पर वो शख़्स कितना असर रखता होगा #MSGProducts4U.
45,@Gurmeetramrahim मेरे मौला दुनियां को सुधारने का तूने क्या अनोखा ढंग निकाला है अब तो लगता है जल्दी ही सतयुग आने वाला है. #MSGProducts4U.
46,@Gurmeetramrahim @MSGAllTrading शुद्ध खाना शुद्ध पीना शुद्धता का ही जमाना है  इस शुद्धता की वजह से ही MSG का दीवाना है #MSGProducts4U.
47,@apkajitanram शुक्रिया मालिक <3
48,तुम भी अच्छे … तुम्हारी वफ़ा भी अच्छी...!!
49,#MSG2in500CrClub MSG फूल बाग सजा देता है सितारा संसार चमका देता है जहाँ दुनिया भरके रिश्ते काम नही आते सतगुरू ज़िन्दगी बना देता है.
50,रिकार्डों के बादशाह DR.MSG की मुवी MSG 2 the मैसेंजर ने सबको पछाड़ते हुए 500 करोड़ का बिजनेस कर लिया है
51,@upwalebhaiji इसी में तो मज़ा है यारा 😊 फक्र है
52, वो तो मल्लिका-ए-ज़िन्दगी है मेरी 😊😊
53,@why_russ thnx के लिए किसी को nyc dp नहीं बोलता वैसे वो सेल्फ़ी किसमे गॉगल्स में स्कूटर दिख रहा था गज़ब की थी
54,@silkeesbhatt @The_KingOnion जुग जुग जियो दूधो नहाओ पूतो फलो
55,बिहारी लोग आपकी भाषा नहीं समझते @narendramodi जी। https://t.co/AdixpnG4Ec
56,पढ़ें और मित्रों के साथ शेयर करें #India #hastakshep https://t.co/Ed7Xc5S0wO
57,@IndianExpress https://t.co/LM4BP295UU इसके बारे मैं कुछ कहेंगे गुप्ता जी और झा साहब
58,परिवार के बाहर जाएगी पंजाब की राजनीति? https://t.co/2gpF4gGNm8
59,RT @canikhilesh: जबसे मेक इन इंडिया (Make In India) का नारा लगा है . . देश के दुश्मन भी देश में ही बनने लगे है.........
60,RT @rajachampion24: Digital India से जुड़िए अब RS 15000-25000/महीना कमायें. 
61,RT @SatyagrahNews: आप दिल्ली-एनसीआर में रहते हैं तो इस वीकेंड मॉल घूमने या फिल्म देखने के बजाय यह भी कर सकते हैं https://t.co/SBNnfCvsjP vi…
62,"RT @ZeeNewsHindi: पीएम मोदी ने नीतीश के साथ मंच किया साझा, बोले-भारत की उन्नति के लिए बिहार का विकास जरूरी https://t.co/SJDczLMaOg"
63,RT @MadhavK88: अब बैंकों का कर्ज नहीं चुकाने वाले बाजार से नहीं ले पाएंगे धन... https://t.co/DU2Un7dz49 https://t.co/1keejHjvvZ
64,RT @saveratimes: #Delhi #SriSriRaviShankar के कार्यक्रम के लिए AAP सरकार ने मांगी थी सेना की मदद https://t.co/6L3x0NpR3w https://t.co/h8Vip…
65,"इन #PHOTOS ने मचाया था दुनिया में बवाल, जानिए कैसी है #माल्या की #LIFE - https://t.co/55ukQv5gSH #VijayMallya #India https://t.co/6y9qZPlDEk"
